Latitude,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
12.75,78.25,Gudupalle,Andhra Pradesh,0,0.02,0.75,0.01,4.32,3.03,1.52,1.82,1.73,3.09,0.75,0.05
12.75,78.5,Kuppam,Andhra Pradesh,0,0.08,0.16,0.01,3.42,2.64,3.21,4.06,2.85,4.15,1.61,0.32
13,78.5,Venkatagirikota,Andhra Pradesh,0,0,0.25,0.03,3.65,3.41,2.52,2.56,2.32,4.6,1.44,0.29
13.25,78.75,Gangavaram,Andhra Pradesh,0.06,0,0.21,0.1,2.73,2.26,1.88,3.27,3.8,5.5,2.05,0.14
13.25,79,Thavanampalle,Andhra Pradesh,0.14,0,0.11,0,2.74,1.32,3.1,4.31,3.82,4.14,2.16,0.2
13.25,79.25,Gangadhara Nellore,Andhra Pradesh,0.08,0,0,0.01,3.01,2.93,3.59,7.06,3.28,3.05,2.33,2.14
13.25,79.75,Vijayapuram,Andhra Pradesh,0,0.09,0,0,0.47,3.31,2.9,4.29,4.44,5.73,4.62,2.58
13.5,78.5,Madanapalle,Andhra Pradesh,0,0,0.78,0.03,1.82,3.52,0.64,2.02,2.59,4.31,1.17,0.15
13.5,78.75,Somala,Andhra Pradesh,0.02,0,0.52,0.02,2.34,1.59,1.16,2.67,3.79,3.23,1.81,0.08
13.5,79,Pakala,Andhra Pradesh,0.01,0,0.9,0,3.34,1.56,1.16,2.97,4.57,2.48,2.1,0.18
13.5,79.25,Ramachandrapuram,Andhra Pradesh,0.03,0.01,0.13,0,2.73,1.53,3.1,7.21,2.68,3.33,2.55,1.04
13.5,79.5,Vadamalapeta,Andhra Pradesh,0,0.09,0,0,1.25,2.68,3.47,6.64,4.6,5.47,3.85,2.24
13.5,79.75,Kumara Venkata Bhupalapuram,Andhra Pradesh,0,0.26,0,0,0.74,1.42,2.38,6.12,4.64,6.47,5.01,2.82
13.5,80,Satyavedu,Andhra Pradesh,0,0.06,0,0,0.61,1.71,2.37,5.22,4.26,8.21,7.19,4.6
13.5,80.25,Tada,Andhra Pradesh,0,0.02,0,0,0.52,2.03,2.56,4.32,3.87,8.79,7.44,4.83
13.75,77,Agali,Andhra Pradesh,0,0,1.08,0.45,5.09,2.06,1,2.12,2.04,4.35,0.66,0.14
13.75,77.5,Hindupur,Andhra Pradesh,0,0,0.4,0.35,3.03,1.57,0.79,3.5,1.87,2.09,0.51,0
13.75,78.25,Pedda Thippasamudram,Andhra Pradesh,0,0,0.59,0.01,2.52,2.66,0.48,2.11,2.52,3.07,1.06,0.28
13.75,78.5,Thamballapalle,Andhra Pradesh,0,0,0.13,0,0.66,1.6,0.62,2.11,2.14,2.68,1.33,0.01
13.75,78.75,Kalikiri,Andhra Pradesh,0,0,0.38,0,1.29,1.7,0.69,2.54,2.63,2.51,1.37,0.05
13.75,79,Pileru,Andhra Pradesh,0,0.01,0.52,0,2.13,1.48,0.93,3.15,3.3,2.71,2.15,0.42
13.75,79.25,Tirupati (Urban),Andhra Pradesh,0.01,0.03,0,0,1.35,2.2,2.14,7.6,1.44,4.54,3.33,1.39
13.75,79.5,Renigunta,Andhra Pradesh,0,0,0,0,0.54,3.27,2.21,8.21,1.17,4.52,3.14,1.18
13.75,79.75,Thottambedu,Andhra Pradesh,0,0.01,0,0,0.81,2.36,1.31,5.55,2.96,6.91,5.64,4.49
13.75,80,Doravarisatram,Andhra Pradesh,0,0.03,0,0,0.72,1.95,1.51,5.54,3.54,7.47,6.46,4.76
14,77,Amarapuram,Andhra Pradesh,0,0,0.75,0.17,3.43,2.01,0.6,1.74,2.08,6.19,0.34,0
14,77.25,Madakasira,Andhra Pradesh,0,0,0.48,0.18,3.35,1.97,0.48,1.57,1.71,5.28,0.43,0
14,77.5,Somandepalle,Andhra Pradesh,0,0,0.14,0.43,3.36,1.53,0.37,1.63,0.8,2.8,0.52,0
