Latitude,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8.25,77.0,Kanyakumari,Tamil Nadu,0.0,0.07,0.58,2.38,13.26,11.21,2.63,0.34,0.12,0.48,1.73,0.93
8.25,77.25,Kalkulam,Tamil Nadu,0.0,0.01,0.57,0.37,4.59,5.96,1.97,0.16,0.0,0.94,4.69,0.05
8.25,77.5,Thovalai,Tamil Nadu,0.0,1.21,0.17,0.01,1.34,1.4,0.27,0.0,0.0,0.18,2.91,0.01
8.25,77.75,Radhapuram,Tamil Nadu,0.0,0.57,0.51,0.0,1.03,0.54,0.2,0.0,0.0,0.77,5.99,0.24
8.5,76.75,Kanyakumari,Tamil Nadu,0.05,0.09,0.35,1.97,13.76,11.93,4.99,1.41,0.47,0.82,2.08,1.1
8.5,77.0,Thiruvananthapuram,Kerala,0.0,1.2,0.95,1.4,11.4,10.45,3.8,0.97,0.34,1.82,3.6,0.92
8.5,77.25,Vilavancode,Tamil Nadu,0.08,1.21,0.69,0.56,4.71,5.93,2.31,0.53,0.16,1.9,4.94,1.06
8.5,77.5,Nanguneri,Tamil Nadu,0.0,0.15,0.18,0.0,1.77,0.4,1.31,0.0,0.0,2.29,4.26,2.22
8.5,77.75,Nanguneri,Tamil Nadu,0.0,0.28,0.79,0.0,0.96,0.01,0.02,0.0,0.0,1.18,7.69,0.1
8.5,78.0,Tiruchendur,Tamil Nadu,0.0,0.19,0.69,0.0,0.39,0.19,0.04,0.0,0.0,0.28,7.38,0.26
8.75,76.5,Unknown,Unknown,0.01,0.09,0.44,1.2,11.29,13.91,4.98,2.07,0.24,1.75,1.85,0.36
8.75,76.75,Varkala,Kerala,0.22,1.5,1.54,2.67,13.09,15.23,4.67,2.25,0.91,2.88,5.38,0.47
8.75,77.0,Nedumangad,Kerala,0.28,0.38,0.74,1.84,10.47,12.38,4.15,1.72,0.99,2.72,4.09,0.68
8.75,77.25,Ambasamudram,Tamil Nadu,0.45,0.03,0.56,0.15,1.69,1.3,1.13,0.0,0.0,1.52,3.16,0.68
8.75,77.5,Cheranmahadevi,Tamil Nadu,0.09,0.0,0.42,0.18,2.81,0.68,0.42,0.0,0.0,2.53,3.37,0.86
8.75,77.75,Palayamkottai,Tamil Nadu,0.01,0.1,0.24,0.04,1.27,0.13,0.06,0.0,0.0,1.48,2.94,0.36
8.75,78.0,Thoothukkudi,Tamil Nadu,0.0,0.01,2.31,0.0,1.37,0.56,0.02,0.0,0.0,0.49,5.29,1.55
9.0,76.5,Unknown,Unknown,0.02,1.3,1.3,1.8,12.88,17.84,8.81,3.6,0.66,3.3,3.25,0.27
9.0,76.75,Kottarakkara,Kerala,0.1,4.74,4.09,4.23,12.55,17.26,7.2,4.35,1.56,5.76,14.27,0.38
9.0,77.0,Punalur,Kerala,0.0,0.18,0.87,0.9,9.13,15.4,10.93,5.11,2.3,7.11,7.34,1.48
9.0,77.25,Shenkottai,Tamil Nadu,0.01,0.09,0.61,1.13,3.68,2.99,1.01,0.08,0.04,1.0,3.7,0.35
9.0,77.5,Veerakeralamputhur,Tamil Nadu,0.0,0.0,0.02,0.24,1.98,0.18,0.84,0.0,0.0,1.83,1.46,0.33
9.0,77.75,Kovilpatti,Tamil Nadu,0.0,0.0,0.02,0.0,2.22,0.0,1.17,0.0,1.09,1.07,2.27,0.6
9.0,78.0,Ottapidaram,Tamil Nadu,0.0,0.0,0.02,0.0,1.67,0.2,0.66,0.01,0.76,1.07,2.75,0.45
9.25,76.25,Unknown,Unknown,0.03,1.19,0.63,0.52,6.15,12.64,11.6,4.6,1.9,3.31,1.03,0.62
9.25,76.5,Karthikappally,Kerala,0.0,0.56,1.24,1.65,11.26,16.31,9.65,5.69,1.64,4.01,2.82,0.42
9.25,76.75,Unknown,Kerala,0.03,0.47,1.72,4.77,13.08,14.53,11.13,6.03,1.72,6.77,9.08,0.09
9.25,77.0,Konni,Kerala,0.08,0.07,0.76,1.31,4.93,6.35,4.08,1.76,0.77,3.41,4.62,1.54
9.25,77.25,Konni,Kerala,0.3,0.0,0.33,1.37,1.96,0.16,0.26,0.0,0.0,1.86,2.29,2.21
9.25,77.5,Sankarankoil,Tamil Nadu,0.23,0.0,0.0,0.53,2.61,0.12,0.74,0.02,0.04,1.68,1.45,1.21
9.25,77.75,Sankarankoil,Tamil Nadu,0.0,0.0,0.17,0.08,1.98,0.36,2.45,0.08,0.2,2.97,1.34,0.58
9.25,78.0,Ettayapuram,Tamil Nadu,0.0,0.0,0.02,0.0,1.12,0.58,0.45,0.09,0.75,1.59,3.62,0.31
9.25,78.25,Vilathikulam,Tamil Nadu,0.0,0.0,0.01,0.0,1.0,0.11,0.35,0.06,0.76,0.99,1.99,0.87
9.25,78.5,Kadaladi,Tamil Nadu,0.04,0.1,0.0,0.0,1.56,0.19,1.68,0.45,1.56,0.76,1.65,1.28
9.25,78.75,Ramanathapuram,Tamil Nadu,0.18,0.42,0.0,0.01,2.97,0.3,2.43,0.72,1.38,0.94,3.61,1.66
9.25,79.25,Unknown,Unknown,0.02,0.02,0.0,0.06,5.17,0.37,0.1,0.05,0.33,1.57,8.01,2.45
9.5,76.25,Unknown,Unknown,0.03,2.68,3.46,0.56,9.95,19.38,13.52,6.45,1.56,6.02,2.83,0.87
9.5,76.5,Kuttanad,Kerala,0.47,0.47,3.38,3.05,10.55,17.57,11.8,6.51,2.27,5.17,4.45,0.48
9.5,76.75,Changanassery,Kerala,0.16,0.19,1.95,2.47,12.8,21.59,13.3,7.37,2.75,5.38,1.99,0.28
9.5,77.0,Peerumade,Kerala,0.06,0.0,1.1,1.3,8.01,15.27,11.47,5.72,2.02,3.89,1.32,0.95
9.5,77.25,Peerumade,Kerala,0.48,0.0,0.17,0.7,1.3,0.03,0.36,0.02,0.01,1.95,2.14,2.28
9.5,77.5,Rajapalayam,Tamil Nadu,0.01,0.0,0.0,0.36,1.78,0.07,0.95,0.12,0.15,3.02,1.63,2.73
9.5,77.75,Sivakasi,Tamil Nadu,0.0,0.0,0.1,0.09,3.0,0.86,3.49,1.8,1.35,2.41,1.39,2.34
9.5,78.0,Virudhunagar,Tamil Nadu,0.0,0.0,0.04,0.07,3.44,0.84,3.76,0.94,2.4,2.85,1.5,2.0
9.5,78.25,Tiruchuli,Tamil Nadu,0.0,0.0,0.07,0.28,2.24,0.85,1.01,0.5,2.65,0.93,1.89,1.71
9.5,78.5,Mudukulathur,Tamil Nadu,0.04,0.09,0.14,0.86,4.15,1.33,2.11,1.28,3.23,1.05,2.11,2.38
9.5,78.75,Paramakudi,Tamil Nadu,0.15,0.35,0.02,0.3,2.11,0.29,2.21,0.61,1.62,1.49,2.24,1.32
9.5,79.0,Ramnathapuram,Tamil Nadu,0.01,0.0,0.04,0.14,4.66,0.36,0.2,0.11,0.47,1.5,6.95,2.23
9.5,79.25,Outside India,Outside India,0.01,0.0,0.02,0.07,4.87,0.37,0.1,0.16,0.47,1.51,7.4,2.35
9.75,76.25,Unknown,Unknown,0.58,3.5,0.48,0.23,10.29,37.9,20.71,8.55,3.13,5.42,1.44,0.0
9.75,76.5,Vaikom,Kerala,0.26,1.13,1.32,1.69,11.64,21.87,16.41,7.52,3.22,3.6,4.59,0.3
9.75,76.75,Meenachil,Kerala,0.15,0.1,1.43,1.41,10.61,20.43,21.23,13.09,5.21,4.98,1.23,0.29
9.75,77.0,Peerumade,Kerala,0.0,0.0,1.17,0.98,6.04,12.2,12.73,6.19,2.18,3.05,1.77,1.22
9.75,77.25,Uthamapalayam,Tamil Nadu,0.0,0.0,0.42,0.4,2.87,3.77,4.67,1.79,0.65,2.76,1.68,1.01
9.75,77.5,Andipatti,Tamil Nadu,0.0,0.0,0.05,0.15,0.67,0.01,2.09,0.48,0.16,5.86,0.85,1.01
9.75,77.75,Peraiyur,Tamil Nadu,0.0,0.0,0.03,0.18,0.91,0.52,3.29,1.65,2.84,3.61,0.73,2.27
9.75,78.0,Thirumangalam,Tamil Nadu,0.0,0.0,0.07,1.04,3.07,0.08,5.17,3.3,1.92,2.6,0.69,2.54
9.75,78.25,Tiruchuli,Tamil Nadu,0.0,0.0,0.01,0.22,5.65,1.69,2.45,2.8,6.43,0.87,0.55,3.15
9.75,78.5,Sivaganga,Tamil Nadu,0.0,0.0,0.13,0.41,4.47,1.44,2.75,2.22,2.6,1.42,2.09,2.1
9.75,78.75,Tiruvadanai,Tamil Nadu,0.0,0.0,0.04,0.07,1.92,0.25,0.31,0.28,2.01,3.95,1.66,1.03
10.0,76.0,Outside India,Outside India,0.0,2.69,1.72,1.85,7.1,18.74,21.19,4.93,2.14,3.97,3.33,0.66
10.0,76.25,Kanayannur,Kerala,0.0,2.55,1.32,1.49,7.77,20.5,20.8,6.33,3.06,3.8,3.93,0.62
10.0,76.5,Kunnathunad,Kerala,0.5,0.46,0.53,1.25,14.27,21.34,18.06,7.97,4.09,3.89,5.17,0.68
10.0,76.75,Kothamangalam,Kerala,0.23,0.09,0.86,1.38,8.83,19.98,21.78,12.93,4.94,3.8,1.85,0.52
10.0,77.0,Devikulam,Kerala,0.0,0.12,0.43,1.36,3.27,14.67,16.32,9.63,2.99,2.61,0.69,0.51
10.0,77.25,Udumbanchola,Kerala,0.01,0.0,0.1,0.19,2.29,0.12,1.81,0.17,0.14,2.33,1.43,0.46
10.0,77.5,Theni,Tamil Nadu,0.0,0.0,0.01,0.53,1.22,0.09,3.77,0.02,0.0,4.45,1.33,0.74
10.0,77.75,Usilampatti,Tamil Nadu,0.0,0.0,0.0,0.12,1.85,0.34,2.75,0.6,1.2,6.9,2.38,1.56
10.0,78.0,Madurai North,Tamil Nadu,0.0,0.0,0.0,1.31,2.46,0.31,3.14,0.99,3.5,3.07,0.8,1.67
10.0,78.25,Melur,Tamil Nadu,0.0,0.0,0.01,0.35,3.39,0.98,2.64,2.44,4.12,2.03,1.41,1.78
10.0,78.5,Sivaganga,Tamil Nadu,0.0,0.0,0.0,0.15,4.78,1.22,1.47,3.93,4.26,1.55,2.57,1.61
10.0,78.75,Karaikkudi,Tamil Nadu,0.0,0.0,0.0,0.0,3.22,0.95,1.41,3.09,4.7,1.92,2.57,1.96
10.0,79.0,Avudayarkoil taluk,Tamil Nadu,0.0,0.0,0.0,0.0,2.62,0.46,0.62,1.82,3.0,2.26,1.71,1.94
10.25,76.0,Unknown,Unknown,0.0,0.09,0.02,0.51,7.3,16.41,18.21,4.06,1.43,2.84,0.96,1.37
10.25,76.25,Chalakkudy,Kerala,0.0,0.5,0.1,0.63,6.37,17.29,16.95,5.59,2.19,3.15,1.8,1.31
10.25,76.5,Aluva,Kerala,0.06,0.22,1.27,0.86,7.86,13.83,13.97,6.23,2.87,2.66,2.31,1.06
10.25,76.75,Kothamangalam,Kerala,0.17,0.07,2.65,1.66,7.78,10.78,12.08,6.96,3.04,2.62,1.92,1.32
10.25,77.0,Valparai,Tamil Nadu,0.11,0.13,1.7,2.05,5.53,13.0,14.82,8.74,3.33,2.67,1.33,1.17
10.25,77.25,Devikulam,Kerala,0.05,0.06,0.41,1.47,4.14,2.27,4.85,2.4,2.11,2.95,1.89,1.96
10.25,77.5,Kodaikanal,Tamil Nadu,0.06,0.02,0.5,0.63,2.96,1.76,3.45,1.15,1.06,4.25,1.66,1.47
10.25,77.75,Athoor,Tamil Nadu,0.0,0.0,0.0,0.16,2.64,1.16,2.82,0.34,1.18,3.92,2.07,1.83
10.25,78.0,Dindigul,Tamil Nadu,0.1,0.0,0.0,0.01,2.29,2.39,4.04,2.56,1.55,5.4,3.18,2.1
10.25,78.25,Natham,Tamil Nadu,0.0,0.0,0.0,0.12,3.39,1.46,1.81,1.33,3.03,1.62,1.61,1.26
10.25,78.5,Ponnamaravathi taluk,Tamil Nadu,0.0,0.0,0.0,0.08,3.23,2.26,0.98,3.98,4.13,2.14,2.86,1.43
10.25,78.75,Thirumayam taluk,Tamil Nadu,0.0,0.0,0.0,0.0,1.53,0.51,2.13,2.3,4.76,0.92,2.98,2.18
10.25,79.0,Aranthangi taluk,Tamil Nadu,0.0,0.0,0.0,0.06,3.88,0.8,1.27,1.3,2.14,1.14,2.99,1.98
10.25,79.25,Peravurani,Tamil Nadu,0.0,0.0,0.03,0.09,4.58,1.37,1.81,2.38,1.12,2.18,2.07,3.47
10.5,76.0,Pālghāt,Kerala,0.59,0.26,0.32,1.27,9.06,20.17,12.15,4.97,2.77,2.21,0.82,1.53
10.5,76.25,Thrissur,Kerala,1.03,0.47,0.77,2.16,10.3,21.89,12.26,5.04,2.93,3.14,0.72,1.34
10.5,76.5,Alathur,Kerala,0.0,0.0,0.43,0.02,4.8,10.82,9.66,5.48,2.47,1.51,1.82,0.8
10.5,76.75,Chittur,Kerala,0.08,0.03,1.58,1.15,5.74,8.06,9.24,4.7,1.84,2.15,2.87,1.13
10.5,77.0,Valparai,Tamil Nadu,0.04,0.01,0.52,0.72,4.26,2.5,3.25,1.42,0.51,2.65,4.26,1.17
10.5,77.25,Udumalaipettai,Tamil Nadu,0.0,0.0,0.0,0.03,2.06,0.32,0.5,0.01,0.02,3.35,3.32,1.05
10.5,77.5,Palani,Tamil Nadu,0.0,0.0,0.0,0.01,2.21,0.43,0.98,0.0,0.01,3.58,2.77,1.25
10.5,77.75,Oddanchatram,Tamil Nadu,0.0,0.0,0.0,0.02,5.5,1.33,1.43,0.02,0.27,1.86,2.04,1.68
10.5,78.0,Vedasandur,Tamil Nadu,0.0,0.0,0.08,0.07,2.11,0.64,1.67,0.31,0.71,1.55,0.58,1.28
10.5,78.25,Manapparai,Tamil Nadu,0.0,0.0,0.08,0.0,2.24,1.23,1.61,0.6,1.5,1.5,0.94,1.0
10.5,78.5,Iluppur taluk,Tamil Nadu,0.0,0.0,0.0,0.0,3.39,0.33,2.19,0.79,2.75,1.46,0.7,1.51
