.,Longitude,District,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
8.25,77,Kanyakumari,Tamil Nadu,0,0.03,0.32,1.22,6.07,7.09,1.99,2.95,7.2,3.91,2.97,0.29
8.25,77.25,Kalkulam,Tamil Nadu,0,0.27,0.32,2.53,3.67,3.73,2.53,2.58,5.93,4.13,4.49,1.14
8.25,77.5,Thovalai,Tamil Nadu,0,0.46,0.01,0,1.01,0.47,0.38,2.73,1.65,1.85,5.66,1.76
8.25,77.75,Radhapuram,Tamil Nadu,0.01,0.81,0,0.23,0.67,0.41,0.2,1.05,0.77,0.9,8.1,2.58
8.5,76.75,Kanyakumari,Tamil Nadu,2.69,0.03,0.83,5.28,14.78,12.49,4.94,6.51,16.43,6.95,3.59,1.83
8.5,77,Thiruvananthapuram,Kerala,0.09,0.05,0.41,4.11,10.22,8.44,2.69,3.43,9.95,3.71,3.35,0.88
8.5,77.25,Vilavancode,Tamil Nadu,0.41,0.17,0.45,2.84,5.51,2.86,1.98,2.8,5.17,3.75,6.44,3.23
8.5,77.5,Nanguneri,Tamil Nadu,0.09,0.35,0,0.61,0.89,0,0.98,0.95,1.16,0.65,7.42,1.62
8.5,77.75,Nanguneri,Tamil Nadu,0.01,1.13,0,0.4,0.37,0.55,0.01,0.08,0.39,0.41,9.53,2.49
8.5,78,Tiruchendur,Tamil Nadu,0.01,0.74,0,0.05,0.6,0.04,0,0.01,0.06,0.21,10.77,4.97
8.75,76.5,Unknown,Unknown,0.97,0.48,0.92,2.17,9.91,10.95,6.04,11.4,12.84,7.86,2.97,0.6
8.75,76.75,Varkala,Kerala,0.77,0.5,1.87,3.29,14.54,10.44,7.17,8.51,12.75,7.12,4.51,0.86
8.75,77,Nedumangad,Kerala,0.28,0,2.55,3.19,11.41,7.05,5.86,7.29,8.4,6.46,5.92,1.75
8.75,77.25,Ambasamudram,Tamil Nadu,0.9,0.28,0.07,1.31,1.21,0.11,0.21,2.64,1.01,2.26,8.14,4.03
8.75,77.5,Cheranmahadevi,Tamil Nadu,0.22,0.09,0,1.31,1.67,0.42,1.11,1.15,0.58,0.64,9.34,4.72
8.75,77.75,Palayamkottai,Tamil Nadu,0.11,0.16,0,0.28,0.55,0.13,0.69,0.55,0.97,0.18,10.22,5.29
8.75,78,Thoothukkudi,Tamil Nadu,0.29,0.78,0,0.69,0.44,0,0.02,0.03,0.07,0.39,13.57,6.22
9,76.5,Unknown,Unknown,0.06,0.19,2.05,3.22,13.77,11.77,8.65,10.79,16.69,7.61,3.49,1.27
9,76.75,Kottarakkara,Kerala,0.35,1.29,1.9,2.71,14.03,9.78,9.87,9.72,13.66,6,5.43,1.97
9,77,Punalur,Kerala,0.19,0,2.73,2.76,4.95,8.56,10.96,13.36,8.63,10.7,5.07,2.33
9,77.25,Shenkottai,Tamil Nadu,0.18,0,1.79,2.56,2.97,0.26,1.76,2.88,1.3,1.96,6.99,4.43
9,77.5,Veerakeralamputhur,Tamil Nadu,0.14,0,0.04,0.48,0.91,0.13,0.98,0.36,1.19,1.27,8.13,4.75
9,77.75,Kovilpatti,Tamil Nadu,0.04,0,0,0.35,1.01,0.99,1.66,0.11,2.6,2.04,10.02,4.14
9,78,Ottapidaram,Tamil Nadu,0.19,0.02,0,0.14,0.5,0.48,0.95,0.08,1.5,2.3,9.29,4.47
9.25,76.25,Unknown,Unknown,0.02,0.01,1.04,1.91,10.13,13.8,9.59,13.48,24.16,6.2,2.87,0.8
9.25,76.5,Karthikappally,Kerala,0.08,0,1.65,3.03,12.84,13.1,10.53,11.37,21.25,8.77,5.17,2.2
9.25,76.75,Unknown,Kerala,0.44,0.1,5.18,6.83,18.16,14.6,14.63,10.07,20.08,7.58,5.3,2.38
9.25,77,Konni,Kerala,0.71,0.01,1.83,2.7,3.09,2.95,4.53,6.6,3.58,5.84,6.7,3.34
9.25,77.25,Konni,Kerala,1.28,0.02,1,2.94,1.81,0.1,1.46,2.16,1.18,4.85,8.43,3.63
9.25,77.5,Sankarankoil,Tamil Nadu,0.25,0,0.08,1.02,3.36,0.39,1.77,1.32,1.98,3.78,8.36,3.68
9.25,77.75,Sankarankoil,Tamil Nadu,0.07,0,0,1.88,1.8,0.71,2.67,1.28,3.13,1.94,8.7,3.8
9.25,78,Ettayapuram,Tamil Nadu,0.45,0.04,0,0.07,0.36,0.35,0.88,0.3,1.37,3.39,7.75,5.13
9.25,78.25,Vilathikulam,Tamil Nadu,0.52,0,0,0.11,1.08,1.92,0.44,0.96,1.17,3.06,5.79,4.62
9.25,78.5,Kadaladi,Tamil Nadu,0.14,1.31,0,0.92,0.46,1.05,0.38,0.23,1.04,2.11,5.37,5.19
9.25,78.75,Ramanathapuram,Tamil Nadu,0.3,0.72,0,1.43,0.44,0.96,0.9,0.41,1.21,1.59,6.54,8.91
9.25,79.25,Unknown,Unknown,0.55,0.67,0,0.86,1.77,1.64,0.21,2.35,1.81,4.53,4.36,15.33
9.5,76.25,Unknown,Unknown,0,0.23,2.37,4.7,12.9,16.38,12.84,11.47,22.37,10.23,3.25,1.98
9.5,76.5,Kuttanad,Kerala,0.12,0.01,2.79,8,12.84,14.58,17.89,14.52,18.82,8.44,4.87,2.83
9.5,76.75,Changanassery,Kerala,0.08,0.01,3.57,6.69,9.15,18.51,23.32,26.97,25.92,13.2,5.38,2.62
9.5,77,Peerumade,Kerala,0.36,0,2.17,4.22,4.61,11.45,17.88,25.39,21.38,11.17,7.92,2.22
9.5,77.25,Peerumade,Kerala,1.2,0.01,0.52,2.04,1.81,0.28,2,2.59,1.42,5.53,10.54,3.41
9.5,77.5,Rajapalayam,Tamil Nadu,0.17,0,0,0.51,6.17,0.43,1.72,2.86,1.82,4.53,11.47,2.93
9.5,77.75,Sivakasi,Tamil Nadu,0.03,0,0,0.95,2.8,0.84,3.16,1,2.23,2.93,9.36,3.3
9.5,78,Virudhunagar,Tamil Nadu,0,0,0,0.97,0.94,0.76,4.22,0.49,3.36,4.08,6.95,3.81
9.5,78.25,Tiruchuli,Tamil Nadu,0.01,0,0,0.44,2.2,1.4,1.15,1.35,5.2,4.44,6.92,6.39
9.5,78.5,Mudukulathur,Tamil Nadu,0.05,0.04,0,0.94,1.58,1.8,1.47,2.16,6.58,3.25,8.81,8.12
9.5,78.75,Paramakudi,Tamil Nadu,0.21,0.15,0.02,2.18,0.68,1.71,1.95,0.16,1.85,1.63,7.35,8.11
9.5,79,Ramnathapuram,Tamil Nadu,0.48,0.56,0,1.19,1.89,1.74,0.58,2.03,1.88,4.09,4.9,13.99
9.5,79.25,Outside India,Outside India,0.53,0.64,0,0.98,1.87,1.62,0.34,2.34,1.84,4.24,4.53,14.53
9.75,76.25,Unknown,Unknown,0.16,0.86,1.94,6.08,11.65,30.12,22.8,19.7,20.58,10.04,3.71,1.1
9.75,76.5,Vaikom,Kerala,0.23,0.15,2.48,5.54,13.03,15.34,18.03,23.02,17.97,7.45,5.54,3.02
9.75,76.75,Meenachil,Kerala,0.03,0.02,2.16,5.99,6.66,13.27,20.13,28.31,22.19,10.42,3.71,1.49
9.75,77,Peerumade,Kerala,0.39,0,1.42,4.4,4.25,6.02,14.99,24.11,18.79,8.54,9.22,1.93
9.75,77.25,Uthamapalayam,Tamil Nadu,0.48,0,0.5,3.7,2.79,1.92,5.63,9.93,7.9,5.48,10.08,2.42
9.75,77.5,Andipatti,Tamil Nadu,0.57,0,0.02,0.57,2.65,0.84,3.19,3.63,3.38,3.32,11.1,2.99
9.75,77.75,Peraiyur,Tamil Nadu,0.13,0,0,0.23,2.89,0.77,2.78,2.87,3.96,4.1,10.65,3.66
9.75,78,Thirumangalam,Tamil Nadu,0.05,0,0,1.23,2.35,1.27,3.77,1.08,4.86,7.15,9.41,2.93
9.75,78.25,Tiruchuli,Tamil Nadu,0.1,0,0,0.68,1.76,1.57,2.74,1.71,6.94,7.68,7.8,4.84
9.75,78.5,Sivaganga,Tamil Nadu,0.02,0,0,1.08,1.45,2.76,2.4,2.25,3.77,2.68,7.13,6.68
9.75,78.75,Tiruvadanai,Tamil Nadu,0.05,0.02,0.26,2.31,2.56,1.99,4.51,0.53,3.68,2.85,6.16,9.93
10,76,Outside India,Outside India,0.66,0.93,2.95,3.13,8.52,15.08,18.23,19.09,18.22,7.41,3.88,0.85
10,76.25,Kanayannur,Kerala,0.65,0.65,1.98,3.6,7.99,13.99,18.64,20.24,18.08,7.97,4.28,1.1
10,76.5,Kunnathunad,Kerala,0.04,0.22,1.84,4.44,14.89,15.45,18.25,22.35,21.14,9.06,4.29,1.92
10,76.75,Kothamangalam,Kerala,0,0.08,1.8,4.54,7.39,12.14,18.52,28.6,22.4,8.6,3.49,1.35
10,77,Devikulam,Kerala,0.02,0,1.37,4.34,2.58,7.21,12.72,22.34,16.92,5.62,4.4,1.69
10,77.25,Udumbanchola,Kerala,0,0,0.26,4.7,0.99,0.57,2.26,1.98,3.33,2.2,6.27,2.64
10,77.5,Theni,Tamil Nadu,0,0,0.01,1.6,2.75,0.69,3.81,3,5.75,3.12,7.84,1.56
10,77.75,Usilampatti,Tamil Nadu,0,0,0.01,0.37,1.09,2.83,1.78,4.46,6.52,4.2,8.34,1.68
10,78,Madurai North,Tamil Nadu,0.08,0,0,0.09,0.68,2.49,3.8,1.85,6.04,4.58,6.1,2.5
10,78.25,Melur,Tamil Nadu,0.2,0,0,0.29,1,1.86,3.17,1.98,5.41,4.85,6.32,3.3
10,78.5,Sivaganga,Tamil Nadu,0.24,0,0,3.15,2.39,3.47,3.21,2.2,5.88,3.09,7.52,5.8
10,78.75,Karaikkudi,Tamil Nadu,0.12,0,0.02,2.83,2.18,3.83,2.97,2.48,5.01,3.36,7.39,6.49
10,79,Avudayarkoil taluk,Tamil Nadu,0,0,0,1.57,1.24,1.8,1.14,1.06,2.46,1.36,5.97,8.98
10.25,76,Unknown,Unknown,0.04,0,1.81,2.34,7.36,17.26,13.49,16.67,19.95,6.58,3.68,0.18
10.25,76.25,Chalakkudy,Kerala,0.16,0.01,1.19,2.71,6.95,15.57,14.11,19.37,20.42,7.64,4.05,0.71
10.25,76.5,Aluva,Kerala,0,0.01,1.52,4.05,4.8,13.16,17.33,23.39,18.77,5.67,3.33,1.37
10.25,76.75,Kothamangalam,Kerala,0,0,2.38,6.07,3.3,14.93,23.59,30.07,23.78,6.61,3.72,2.22
10.25,77,Valparai,Tamil Nadu,0.01,0,1.99,5.35,3.02,12.14,20.27,27.95,22.51,6.47,4.2,2.63
10.25,77.25,Devikulam,Kerala,0.07,0,1.14,1.2,2.35,2.93,6.91,3.74,5.59,1.97,6.96,6.37
10.25,77.5,Kodaikanal,Tamil Nadu,0.03,0,0.8,1.39,2.11,1.83,5.15,3.21,6.68,2.3,6.83,3.72
10.25,77.75,Athoor,Tamil Nadu,0,0,0.03,0.42,1.23,1.01,2.36,3.85,4.09,1.21,5.57,2.66
10.25,78,Dindigul,Tamil Nadu,0.13,0,0,1.21,1.72,3.46,6.32,5.88,6.21,2.93,4.98,2.32
10.25,78.25,Natham,Tamil Nadu,0.15,0,0,0.74,1.25,2.08,4.73,3.25,6.39,4.02,5.66,4.65
10.25,78.5,Ponnamaravathi taluk,Tamil Nadu,0.27,0,0.01,2.71,2.4,2.23,5.31,2.95,7.25,4.66,5.72,5.72
10.25,78.75,Thirumayam taluk,Tamil Nadu,0,0,0,0.05,0.92,1.94,6.01,3.4,5.41,6.54,7.01,6.04
10.25,79,Aranthangi taluk,Tamil Nadu,0.08,0,0,0.09,3.17,0.49,1.46,0.53,2.64,2.13,4.88,14.05
10.25,79.25,Peravurani,Tamil Nadu,0.45,0.01,0.03,1.24,1.1,1.23,3.5,0.29,3.09,1.45,6.64,11.59
10.5,76,Pālghāt,Kerala,0,0,0.77,2.62,2.64,12.67,16.85,16.65,17.64,8.1,1.27,0.42
10.5,76.25,Thrissur,Kerala,0,0,1.45,5.65,3.93,15.66,16.06,16.55,19.55,6.77,2.57,0.2
10.5,76.5,Alathur,Kerala,0,0,0.52,2.99,1.11,7.27,9.92,17.24,11.43,3.44,1.78,0.68
10.5,76.75,Chittur,Kerala,0,0,2.07,4.25,2.15,9.29,14.53,19.75,15.04,3.91,3.22,1.97
10.5,77,Valparai,Tamil Nadu,0.02,0,0.96,2.53,1.47,3.1,6.28,6.82,6.48,1.77,6.65,2.62
