State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient,Latitude,Longitude,District,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,12.75,78.25,Gudupalle,0.58,0.0,0.09,0.01,3.35,3.16,4.84,0.19,2.87,1.0,0.01,2.87
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,12.75,78.5,Kuppam,0.04,0.0,0.01,0.0,1.78,2.28,5.97,1.65,3.37,0.75,0.1,3.79
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.0,78.5,Venkatagirikota,0.03,0.0,0.04,0.07,2.95,3.65,6.51,0.82,2.16,1.34,0.27,4.03
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.25,78.75,Gangavaram,0.11,0.0,0.03,0.0,2.96,6.49,7.44,0.56,1.4,1.92,0.4,4.44
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.25,79.0,Thavanampalle,0.0,0.0,0.0,0.0,2.16,8.67,7.76,0.62,2.13,1.94,0.72,5.5
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.25,79.25,Gangadhara Nellore,0.04,0.0,0.0,0.0,3.84,9.35,6.48,0.13,2.25,1.34,0.24,3.81
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.25,79.75,Vijayapuram,0.02,0.0,0.0,0.0,5.39,3.63,1.49,0.74,7.52,0.26,1.19,6.59
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,78.5,Madanapalle,0.04,0.0,0.25,0.0,4.45,3.21,4.15,0.52,1.83,1.05,0.11,2.86
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,78.75,Somala,0.04,0.0,0.08,0.0,2.37,4.73,5.25,0.23,0.85,1.21,0.38,3.3
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15.0,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58,13.5,79.0,Pakala,0.0,0.0,0.0,0.0,2.56,5.42,5.72,0.07,0.64,1.23,0.18,3.89
